date,sector,above_50sma,above_200sma,new_52w_high,new_52w_low
2024-12-13,Health Care,31.666666666666664,38.983050847457626,,
2024-12-13,Industrials,49.36708860759494,79.48717948717949,,
2024-12-13,Information Technology,59.42028985507246,68.11594202898551,,
2024-12-13,Materials,30.76923076923077,42.30769230769231,,
2024-12-13,Real Estate,35.483870967741936,74.19354838709677,,
2024-12-13,Utilities,29.03225806451613,83.87096774193549,,
2024-12-20,Communication Services,52.17391304347826,82.6086956521739,,
2024-12-20,Consumer Discretionary,52.083333333333336,66.66666666666666,,
2024-12-20,Consumer Staples,30.555555555555557,33.33333333333333,,
2024-12-20,Energy,13.636363636363635,36.36363636363637,,
2024-12-20,Financials,35.526315789473685,90.78947368421053,,
2024-12-20,Health Care,18.333333333333332,28.8135593220339,,
2024-12-20,Industrials,17.72151898734177,61.53846153846154,,
2024-12-20,Information Technology,40.57971014492754,62.31884057971014,,
2024-12-20,Materials,7.6923076923076925,34.61538461538461,,
2024-12-20,Real Estate,9.67741935483871,58.06451612903226,,
2024-12-20,Utilities,9.67741935483871,77.41935483870968,,
2024-12-27,Communication Services,52.17391304347826,78.26086956521739,,
2024-12-27,Consumer Discretionary,52.083333333333336,70.83333333333334,,
2024-12-27,Consumer Staples,16.666666666666664,36.11111111111111,,
2024-12-27,Energy,13.636363636363635,36.36363636363637,,
2024-12-27,Financials,39.473684210526315,90.78947368421053,,
2024-12-27,Health Care,26.666666666666668,30.508474576271187,,
2024-12-27,Industrials,17.72151898734177,61.53846153846154,,
2024-12-27,Information Technology,42.028985507246375,62.31884057971014,,
2024-12-27,Materials,3.8461538461538463,34.61538461538461,,
2024-12-27,Real Estate,6.451612903225806,58.06451612903226,,
2024-12-27,Utilities,16.129032258064516,80.64516129032258,,
2025-01-03,Communication Services,43.47826086956522,78.26086956521739,0.0,0.0
2025-01-03,Consumer Discretionary,37.5,64.58333333333334,2.083333333333333,0.0
2025-01-03,Consumer Staples,11.11111111111111,30.555555555555557,0.0,8.333333333333332
2025-01-03,Energy,40.909090909090914,45.45454545454545,9.090909090909092,0.0
2025-01-03,Financials,31.57894736842105,90.78947368421053,0.0,0.0
2025-01-03,Health Care,26.666666666666668,32.20338983050847,0.0,0.0
2025-01-03,Industrials,15.18987341772152,60.256410256410255,0.0,3.8461538461538463
2025-01-03,Information Technology,39.130434782608695,57.971014492753625,0.0,1.4492753623188406
2025-01-03,Materials,3.8461538461538463,23.076923076923077,0.0,15.384615384615385
